stock name,price,board,volume,date,time,Period End 1,Revenue 1,P&L 1,EPS 1,Period End 2,Revenue 2,P&L 2,EPS 2,Period End 3,Revenue 3,P&L 3,EPS 3,Period End 4,Revenue 4,P&L 4,EPS 4,Financial Date,Sales,Ebitda,Ebit,Net Profit,Intangibles,Fixed Asset,Long Term Investment,Inventories,Cash,Current Liabilites,Long_debt,Provisions,Minorities,Total Shareholder Equity,Operating Margin,Return on Equity Capital,Net Profit Margin,Current Ratio,Debt to Capital at book
ATLAN HOLDINGS BHD,4.400,Main,0,06 Mar 2019,7:11 PM,30 Nov 2018,"215,387","19,726",5.40,31 Aug 2018,"169,965","18,029",5.14,31 May 2018,"170,532","11,341",2.91,28 Feb 2018,"223,604","31,069",10.39,28 Feb 2018,"826,335",-,-,"49,033","49,279","141,679",850,"172,539","410,231","202,675","40,969","2,930",0,"712,027",11.55,-,5.93,3.44,-
ATRIUM REITS,1.130,Main,64,06 Mar 2019,7:11 PM,31 Dec 2018,"4,900","4,141",1.98,30 Sep 2018,"5,004","2,470",2.03,30 Jun 2018,"4,478","2,543",2.09,31 Mar 2018,"4,397","2,466",2.02,31 Dec 2017,"17,303","15,229","21,709","18,137",0,0,0,0,"7,571","64,103","29,165",0,0,"180,567",126.45,10.31,104.82,0.17,0.32
ATURMAJU RESOURCES BHD,0.455,Main,"36,504",06 Mar 2019,7:11 PM,31 Dec 2018,"6,920","4,961",7.38,30 Sep 2018,"3,802",186,0.28,30 Jun 2018,"4,454",-271,-0.44,31 Mar 2018,79,-649,-0.94,31 Dec 2017,"11,417","-2,999","-3,837","-3,649",0,"12,194",0,0,"1,082","1,974",0,0,0,"17,930",-31.62,-18.47,-31.96,3.94,0.01
ATTA GLOBAL GROUP BERHAD,0.630,Main,350,06 Mar 2019,7:11 PM,31 Dec 2018,"39,170","-18,024",-8.56,30 Sep 2018,"41,264",804,0.39,30 Jun 2018,"41,718","1,570",0.72,31 Dec 2017,"32,831","13,569",8.91,31 Mar 2018,"155,858",-,-,"28,404",909,"73,738","42,319","24,468","130,939","27,490","4,204",0,0,"352,447",19.76,-,18.22,8.16,-
AVILLION BERHAD,0.240,Main,501,06 Mar 2019,7:11 PM,31 Dec 2018,"25,720","-3,793",-0.43,30 Sep 2018,"29,082","-3,063",-0.34,30 Jun 2018,"34,433","-4,499",-0.50,30 Jun 2018,"34,433","-4,499",-0.50,31 Mar 2018,"131,421",-,-,"-10,841","20,780","227,972",337,"63,150","4,660","70,989","62,236",0,0,"283,720",-2.28,-,-8.25,1.33,-
AXIATA GROUP BERHAD,4.160,Main,"22,171",06 Mar 2019,7:11 PM,31 Dec 2018,"6,266,995","-2,020,733",-18.30,30 Sep 2018,"6,003,472","185,525",1.50,30 Jun 2018,"5,867,065","-3,317,675",-37.10,31 Dec 2017,"6,261,095","102,301",0.30,31 Dec 2017,"24,402,401","9,020,364","2,802,250","909,480","22,176,286","26,909,970","8,074,026","174,279","6,812,868","18,295,332","14,796,319","560,046",0,"30,504,583",13.07,3.08,3.73,0.65,0.29
AXIS REITS,1.730,Main,"5,909",06 Mar 2019,7:11 PM,31 Dec 2018,"59,477","66,985",5.43,30 Sep 2018,"52,348","29,739",2.41,30 Sep 2018,"52,348","29,739",2.41,30 Jun 2018,"47,450","26,825",2.18,31 Dec 2017,"172,715","144,848","128,801","122,560",0,"2,477",0,0,"34,869","668,645","245,619",0,0,"1,591,136",70.96,8.21,70.96,0.1,0.33
AYER HOLDINGS BERHAD,4.500,Main,10,06 Mar 2019,7:11 PM,31 Dec 2018,"23,861","8,330",11.13,30 Sep 2018,"18,118","2,729",3.65,30 Jun 2018,"22,715","6,904",9.22,31 Dec 2017,"16,109","1,851",2.47,31 Dec 2017,"52,268","11,857","13,410","12,365","27,100","169,803","6,331","90,133","15,231","23,584",0,0,0,"495,682",30.53,2.52,23.66,8.72,0
AWC BERHAD,0.780,Main,"31,997",06 Mar 2019,7:11 PM,31 Dec 2018,"85,947","9,283",2.48,30 Sep 2018,"68,492","7,284",2.25,30 Jun 2018,"94,155","6,190",1.63,31 Dec 2017,"68,353","5,456",1.88,30 Jun 2018,"303,978",-,-,"21,659","28,144","15,477",0,"18,856","57,048","63,976","8,749",586,0,"199,739",11.3,-,7.13,3.51,-
AHMAD ZAKI RESOURCES BHD,0.460,Main,"174,081",06 Mar 2019,7:11 PM,31 Dec 2018,"266,658","-2,620",-0.49,30 Sep 2018,"318,098","1,075",0.59,30 Jun 2018,"339,698","2,333",1.00,31 Mar 2018,"304,136","8,230",1.72,31 Dec 2017,"960,620",-,-,"29,199","894,274","505,535","24,184","35,083","281,338","1,107,509","2,144,136","3,029",0,"462,671",19.9,-,3.04,1.65,-
AYS VENTURES BHD,0.350,Main,185,06 Mar 2019,7:11 PM,31 Dec 2018,"133,908","2,121",0.55,30 Sep 2018,"169,305","7,166",1.88,30 Jun 2018,"141,178","6,391",1.68,31 Dec 2017,"136,244","8,015",2.10,31 Mar 2018,"562,508",-,-,"23,503",0,"108,682",0,"217,740","29,767","273,246",639,0,0,"262,400",7.42,-,4.18,1.5,-
METROD HOLDINGS BERHAD,1.700,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"713,104","11,652",8.71,30 Sep 2018,"763,015","-11,309",-6.74,30 Jun 2018,"719,771","-1,899",0.83,31 Dec 2017,"713,762","14,003",9.65,31 Dec 2017,"2,580,813",-,-,"23,066",0,"530,260",0,"278,882","167,061","587,166","178,195","7,739",0,"503,068",1.73,-,0.89,1.4,-
SHANGRI-LA HOTELS (M) BHD,5.600,Main,491,06 Mar 2019,7:11 PM,31 Dec 2018,"135,123",-78,-0.19,30 Sep 2018,"148,504","34,489",7.02,30 Jun 2018,"115,737","16,541",3.40,31 Mar 2018,"151,484","28,517",5.81,31 Dec 2017,"550,565","181,359","118,605","72,198","12,286","734,645","218,657","5,343","175,555","257,517",0,"23,152",0,"1,184,945",20.6,6.15,13.11,0.86,0.1
VISDYNAMICS HOLDINGS BHD,0.535,Ace,"22,788",06 Mar 2019,7:11 PM,31 Oct 2018,"13,571","3,024",1.79,31 Jul 2018,"11,034","2,736",1.62,30 Apr 2018,"9,661","1,990",1.18,31 Jan 2018,"7,128",419,0.26,31 Oct 2017,"31,976","8,860","7,662","6,639","2,756","5,247",0,"13,937","10,227","12,597",0,0,0,"31,779",24.63,23.93,20.76,2.93,0.08
CYPARK RESOURCES BERHAD,1.730,Main,"3,945",06 Mar 2019,7:11 PM,31 Oct 2018,"79,655,612","20,183,005",7.38,31 Jul 2018,"75,129","19,215",7.26,30 Apr 2018,"99,076","18,748",7.18,31 Jan 2018,"84,025","12,257",4.69,31 Oct 2017,"301,684","91,169","77,720","57,604","705,708","229,013","2,959",0,"108,512","353,358","445,761",0,0,"507,233",26.98,12.16,19.09,1.06,0.43
CHEMICAL COMPANY OF MALAYSIA,2.040,Main,"3,133",06 Mar 2019,7:11 PM,31 Dec 2018,"100,459","9,757",5.15,30 Sep 2018,"95,068","5,354",2.73,30 Jun 2018,"99,013","5,298",1.50,31 Mar 2018,"101,399","10,356",5.95,31 Dec 2017,"838,696",-,-,"25,919","94,170","143,816","61,176","39,277","160,345","447,662","108,750",0,0,"280,904",10.91,-,3.09,1.21,-
PPB GROUP BHD,18.400,Main,"7,569",06 Mar 2019,7:11 PM,31 Dec 2018,"1,164,213","235,476",15.56,31 Dec 2018,"1,164,213","235,476",15.56,30 Sep 2018,"1,136,493","360,714",25.29,30 Jun 2018,"1,082,432","311,156",21.40,31 Dec 2017,"4,305,051","1,461,521","1,311,256","1,205,447","76,763","1,347,017","18,005,397","820,929","1,098,632","1,186,079","35,974",0,0,"21,574,216",30.63,5.58,28,2.66,0.03
BRITISH AMERICAN TOBACCO (M),34.360,Main,"2,978",06 Mar 2019,7:11 PM,31 Dec 2018,"770,623","116,366",40.80,30 Sep 2018,"735,528","145,806",51.10,30 Jun 2018,"679,146","110,133",38.60,30 Jun 2018,"679,146","110,133",38.60,31 Dec 2017,"3,002,259","650,872","645,163","492,635","413,142","34,836",0,"236,636","11,554","662,432",0,0,0,"382,123",21.67,98.97,16.41,0.84,0.4
TIEN WAH PRESS HOLDINGS BHD,1.330,Main,98,06 Mar 2019,7:11 PM,31 Dec 2018,"87,296","-3,795",-4.87,30 Sep 2018,"81,596","1,770",-0.33,30 Jun 2018,"92,001","5,187",2.63,31 Mar 2018,"81,542",-668,-1.67,31 Dec 2017,"417,309","20,470","-27,510","-19,685","80,178","249,008","6,455","82,006","33,043","180,754","65,956",662,0,"367,398",-7.3,-4.94,-4.72,1.47,0.24
BERMAZ AUTO BERHAD,2.150,Main,"18,137",06 Mar 2019,7:11 PM,31 Oct 2018,"690,318","74,619",6.36,31 Jul 2018,"485,396","51,593",4.33,30 Apr 2018,"570,594","58,160",4.93,31 Jan 2018,"559,397","44,296",3.50,30 Apr 2018,"1,992,868",-,-,"139,975",500,"19,805","134,333","247,382","306,769","262,096",0,"16,845",0,"524,504",10.17,-,7.02,2.5,-
BCM ALLIANCE BERHAD,0.195,Ace,"17,768",06 Mar 2019,7:11 PM,31 Dec 2018,"21,876","1,609",0.37,30 Sep 2018,"19,629","1,055",0.24,30 Jun 2018,"26,662","2,415",0.57,31 Mar 2018,"24,379","3,500",0.80,31 Dec 2017,"76,143",-,-,"4,481",0,"9,596","4,393","11,621","16,371","11,244","3,139",0,0,"39,373",9.55,-,5.88,3.71,-
BINA DARULAMAN BHD,0.330,Main,200,06 Mar 2019,7:11 PM,31 Dec 2018,"54,126","-15,600",-5.13,30 Sep 2018,"49,261","-6,399",-2.11,30 Jun 2018,"52,981","-9,457",-3.11,31 Dec 2017,"54,679","-10,437",-3.43,31 Dec 2017,"251,707","6,365","-2,231","-7,598",0,"98,704",446,"93,347","119,754","249,518","31,408",0,0,"515,750",-0.22,-1.45,-3.02,1.29,0.2
BARAKAH OFFSHORE PETROLEUM BHD,0.110,Main,"484,596",06 Mar 2019,7:11 PM,31 Dec 2018,"70,252","-21,096",-2.55,30 Sep 2018,"94,456","-5,089",-0.61,29 Aug 2018,0,0,0.00,31 Mar 2018,"19,381","-19,927",-2.41,31 Dec 2017,"310,936",-,-,"-216,704",0,"297,447",0,"5,154","131,914","176,951","169,255",0,0,"203,243",-64.99,-,-69.69,1.44,-
BENALEC HOLDINGS BERHAD,0.195,Main,"12,029",06 Mar 2019,7:11 PM,31 Dec 2018,"4,801","-2,354",-0.24,30 Sep 2018,"23,874","-1,789",-0.24,30 Jun 2018,"27,418","-3,907",-0.60,31 Mar 2018,"39,645","1,612",0.10,30 Jun 2018,"116,315",-,-,-177,0,"169,003",46,"249,535","156,768","441,893","10,628",0,0,"634,801",19.5,-,-0.15,2.44,-
B.I.G. INDUSTRIES BHD,0.480,Main,"16,018",06 Mar 2019,7:11 PM,31 Dec 2018,"14,313","1,833",3.81,30 Sep 2018,"11,765",232,0.48,30 Jun 2018,"10,260",-672,-1.40,31 Mar 2018,"10,499",-722,-1.50,30 Jun 2018,"39,909",-,-,"-4,518",0,"33,664",10,"7,807","3,776","24,137",238,0,0,"31,184",-11.94,-,-11.32,1.03,-
BAHVEST RESOURCES BERHAD,0.620,Ace,"48,344",06 Mar 2019,7:11 PM,31 Dec 2018,"23,430","1,089",0.14,30 Sep 2018,"6,581","-4,184",-0.69,30 Jun 2018,"3,222",27,0.00,31 Mar 2018,755,"67,995",11.29,31 Mar 2018,"22,219",-,-,"18,543","96,134","63,250",0,"1,359","5,905","23,279",0,0,0,"300,646",142.3,-,83.46,8.67,-
BERTAM ALLIANCE BHD,0.280,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,817,"-3,171",-1.53,30 Sep 2018,0,-870,-0.42,30 Jun 2018,0,"1,651",0.80,31 Mar 2018,0,"-1,507",-0.73,31 Dec 2017,"145,248",-,-,"62,806",90,"10,022","2,055","106,322","59,468","61,771","5,429",0,0,"206,509",48.03,-,43.24,2.97,-
BCB BHD,0.280,Main,"4,421",06 Mar 2019,7:11 PM,31 Dec 2018,"114,458","9,334",1.41,30 Sep 2018,"95,504","10,454",1.95,30 Jun 2018,"78,197","34,427",4.25,31 Mar 2018,"82,584","2,420",0.55,30 Jun 2018,"305,009",-,-,"27,833",0,"57,632",0,"722,734","22,238","484,076","233,242",0,0,"517,840",21.07,-,9.13,1.78,-
BINTAI KINDEN CORPORATION BHD,0.145,Main,"1,540",06 Mar 2019,7:11 PM,31 Dec 2018,"45,481",494,0.19,30 Sep 2018,"41,154",142,0.07,30 Jun 2018,"19,754",114,0.06,31 Mar 2018,"8,800","5,589",1.95,31 Mar 2018,"219,051",-,-,"4,951","15,380","43,628","37,394",0,"6,964","92,872","16,682",0,0,"90,519",2.68,-,2.26,0.88,-
BIO OSMO BHD,0.060,Main,"7,800",06 Mar 2019,7:11 PM,31 Dec 2018,826,"-3,462",-0.40,30 Sep 2018,612,-796,-0.11,30 Jun 2018,"1,508","-4,939",-0.62,31 Mar 2018,"1,457",-905,-0.09,30 Jun 2017,"9,106","-4,066","-9,909","-10,925","13,533","23,082",0,574,"2,389","10,071",0,0,0,"35,032",-108.08,-37.53,-119.98,0.88,0
BIMB HOLDINGS BHD,4.180,Main,"2,245",06 Mar 2019,7:11 PM,31 Dec 2018,"1,121,108","198,071",9.53,30 Sep 2018,"1,089,835","232,380",11.73,30 Jun 2018,"992,172","170,392",8.85,31 Mar 2018,"999,362","200,578",10.26,31 Dec 2017,-,458,"-66,556","619,838",-,"397,624",-,-,11.97,-,-,-,-,-,-,-,-,-,-
BOUSTEAD HEAVY INDUSTRIES CORP,1.290,Main,30,06 Mar 2019,7:11 PM,31 Dec 2018,"18,818","-131,913",-53.09,30 Sep 2018,"61,418","11,869",4.78,30 Jun 2018,"49,160","7,217",2.90,31 Mar 2018,"39,717","4,501",1.81,31 Dec 2017,"277,647","45,630","24,538","10,576",0,"55,528","234,942","11,609","45,920","309,689","5,806",0,0,"344,668",8.93,3.06,3.81,1.09,0.36
BERJAYA ASSETS BERHAD,0.295,Main,"10,278",06 Mar 2019,7:11 PM,31 Dec 2018,"79,205","-2,483",-0.06,30 Sep 2018,"73,855",-687,-0.01,30 Jun 2018,"48,489","-26,461",-1.19,31 Dec 2017,"107,715","-15,130",-0.58,30 Jun 2018,"312,690",-,-,"-32,961","36,024","291,776","289,279","196,323","99,250","308,514","692,018",0,0,"2,297,400",18.51,-,-10.54,1.26,-
BIOALPHA HOLDINGS BERHAD,0.200,Ace,"23,694",06 Mar 2019,7:11 PM,31 Dec 2018,"17,313","3,382",0.36,30 Sep 2018,"20,182","4,064",0.52,30 Jun 2018,"19,546","4,006",0.51,31 Mar 2018,"12,463",603,0.08,31 Dec 2017,"55,917",-,-,"7,865","35,866","37,238",0,"7,590","25,715","12,037","2,616",0,0,"134,633",17.1,-,14.07,6.71,-
BERJAYA CORPORATION BHD,0.275,Main,"233,853",06 Mar 2019,7:11 PM,31 Oct 2018,"1,990,018","-23,394",-1.24,31 Jul 2018,"2,142,407","76,905",0.66,30 Apr 2018,"2,111,807","-109,074",-1.66,31 Jan 2018,"2,171,346","-61,641",-1.60,30 Apr 2018,"8,665,141",-,-,"-370,203","5,695,064","3,465,051","1,443,675","2,074,953","1,631,646","5,180,779","3,502,049","45,333",0,"10,325,287",2.98,-,-4.27,1.13,-
BINASAT COMMUNICATIONS BERHAD,0.405,Ace,"3,297",06 Mar 2019,7:11 PM,31 Dec 2018,"15,929","2,080",0.83,30 Sep 2018,"13,099","1,873",0.75,30 Jun 2018,"17,667","2,140",0.89,31 Mar 2018,"16,019","3,150",1.20,30 Jun 2018,"57,260",-,-,"9,071",0,"9,100",0,0,"11,447","9,985","6,897",0,0,"71,167",21.55,-,15.84,7.56,-
BINTULU PORT HOLDINGS BHD,4.620,Main,49,06 Mar 2019,7:11 PM,31 Dec 2018,"198,064","82,861",18.01,30 Sep 2018,"161,969","18,536",4.03,30 Jun 2018,"158,944","9,443",2.05,31 Mar 2018,"167,162","31,203",6.78,31 Dec 2017,"817,196","427,783","245,722","154,172","1,942,032","299,191",0,"4,544","563,481","289,950","947,299",0,0,"1,214,248",33.18,13.01,18.87,2.81,0.55
BATU KAWAN BHD,17.460,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"4,218,999","290,926",34.19,30 Sep 2018,"4,322,368","127,483",17.75,30 Jun 2018,"4,472,625","190,262",26.55,31 Mar 2018,"4,829,718","230,781",27.32,30 Sep 2017,"21,548,322","2,359,812","1,811,898","586,646","368,274","8,213,451","3,152,314","1,988,704","2,334,233","3,203,961","3,567,168","488,288",0,"13,369,812",7.79,4.59,2.72,2.33,0.24
BERJAYA FOOD BERHAD,1.430,Main,"1,211",06 Mar 2019,7:11 PM,31 Oct 2018,"166,584","7,012",1.89,31 Jul 2018,"161,376","6,228",1.66,30 Apr 2018,"159,997",843,0.22,31 Jan 2018,"164,438","-10,837",-2.88,30 Apr 2018,"639,741",-,-,"1,175","457,106","234,083",0,"34,068","32,262","276,256","135,970","11,452",0,"387,189",5.54,-,0.18,0.34,-
BERJAYA SPORTS TOTO BHD,2.390,Main,"3,082",06 Mar 2019,7:11 PM,31 Oct 2018,"1,352,483","62,668",4.48,31 Jul 2018,"1,500,830","90,160",6.45,30 Apr 2018,"1,400,743","36,698",2.61,31 Jan 2018,"1,404,303","61,199",4.40,30 Apr 2018,"5,660,587",-,-,"229,658","768,916","183,036","188,045","406,768","418,179","1,288,467","531,774","6,631",0,"786,397",7.56,-,4.06,1.02,-
BERJAYA LAND BHD,0.280,Main,"79,054",06 Mar 2019,7:11 PM,31 Oct 2018,"1,508,694","39,980",-0.04,31 Jul 2018,"1,621,738","71,991",0.33,30 Apr 2018,"1,585,027","-76,486",-1.85,31 Jan 2018,"1,564,428","35,830",-0.18,30 Apr 2018,"6,361,198",-,-,"-190,288","4,071,572","1,584,508","695,083","870,768","436,620","3,240,810","1,824,214","26,759",0,"6,551,258",4.15,-,-2.99,1.06,-
BLD PLANTATION BHD,6.960,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"526,430","-30,110",-31.71,30 Sep 2018,"466,952","-16,742",-17.93,30 Jun 2018,"394,202","-1,517",-1.65,31 Mar 2018,"366,567","2,303",2.31,31 Dec 2017,"2,134,643",-,-,"40,423",0,"936,393",0,"125,315","284,713","457,704","73,220",0,0,"849,290",3.14,-,1.89,1.3,-
BOX-PAK (MALAYSIA) BHD,1.090,Main,220,06 Mar 2019,7:11 PM,31 Dec 2018,"172,601","-8,366",-6.97,30 Sep 2018,"167,642","1,195",1.00,30 Jun 2018,"148,828","-1,711",-1.43,31 Dec 2017,"150,350",-817,-0.68,31 Dec 2017,"552,751","11,664","-7,698","-15,354","43,360","219,246",0,"95,218","62,709","292,199","44,682","1,149",0,"264,569",-1.08,-6.88,-2.78,1.06,0.36
BORNEO OIL BHD,0.045,Main,"50,120",06 Mar 2019,7:11 PM,31 Dec 2018,"23,757","-1,288",-0.02,30 Sep 2018,"20,773",713,0.01,30 Jun 2018,"22,782","4,010",0.08,30 Apr 2018,"24,343","-3,987",-0.08,30 Jun 2018,"137,108",-,-,"-5,897","56,524","65,745",64,"13,603","16,041","23,130","1,383",0,0,"684,595",-0.88,-,-4.3,4.06,-
BONIA CORPORATION BHD,0.255,Main,"2,624",06 Mar 2019,7:11 PM,31 Dec 2018,"132,245","12,085",1.18,30 Sep 2018,"99,185","1,263",0.02,30 Jun 2018,"110,662","6,096",0.65,30 Jun 2018,"110,662","6,096",0.65,30 Jun 2018,"555,363",-,-,"19,785","86,254","134,671","1,971","105,363","111,322","140,686","57,919","1,700",0,"465,955",8.23,-,3.56,3.02,-
BERJAYA MEDIA BHD,0.210,Main,0,06 Mar 2019,7:11 PM,31 Oct 2018,"6,532","-2,570",-1.09,31 Jul 2018,"7,368","-2,750",-1.17,30 Apr 2018,"6,497","-6,029",-2.56,31 Jan 2018,"8,301","-2,450",-1.04,30 Apr 2018,"33,267",-,-,"-12,500",0,"2,088","16,552","4,644","2,724","14,687",0,0,0,"18,324",-36.68,-,-37.57,0.98,-
BOILERMECH HOLDINGS BHD,0.550,Main,482,06 Mar 2019,7:11 PM,31 Dec 2018,"52,011","6,055",1.13,30 Sep 2018,"56,202","5,905",1.07,30 Jun 2018,"54,335","4,874",0.96,31 Dec 2017,"56,580","5,355",0.97,31 Mar 2018,"225,907",-,-,"20,575","3,931","77,602",0,"26,955","19,292","102,288","4,376",0,0,"199,512",13.55,-,9.11,2.15,-
BOUSTEAD PLANTATIONS BHD,0.815,Main,"5,163",06 Mar 2019,7:11 PM,31 Dec 2018,"156,558","-15,187",-0.58,30 Sep 2018,"131,095","-24,630",-0.98,30 Jun 2018,"141,752","-26,438",-0.99,31 Dec 2017,"218,163","35,854",2.28,31 Dec 2017,"760,097","204,073","748,941","665,238","2,281","2,540,967","76,159","26,085","15,818","245,246",0,"5,966",0,"2,572,474",100.06,27.79,87.52,0.93,0.06
BREM HOLDINGS BHD,0.750,Main,"1,084",06 Mar 2019,7:11 PM,31 Dec 2018,"28,304","6,414",1.40,30 Sep 2018,"16,125",191,-0.20,30 Jun 2018,"45,616","6,019",1.40,31 Mar 2018,"56,287","-10,126",-0.80,31 Mar 2018,"294,777",-,-,"39,205","17,099","4,622","87,897","156,539","114,020","139,094","73,345",0,0,"704,903",29.54,-,13.3,3.05,-
BRIGHT PACKAGING INDUSTRY BHD,0.190,Main,510,06 Mar 2019,7:11 PM,30 Nov 2018,"16,570",-91,-0.04,31 Aug 2018,"17,317",996,0.49,31 May 2018,"14,047",-697,-0.34,28 Feb 2018,"13,189","-1,587",-0.77,31 Aug 2017,"42,189","3,609","-4,745","-2,615",0,"68,545",0,"6,378","39,646","6,411",0,0,0,"119,214",-8.31,-2.17,-6.2,9.32,0
BRITE-TECH BHD,0.300,Ace,"8,282",06 Mar 2019,7:11 PM,31 Dec 2018,"6,717",459,0.19,30 Sep 2018,"6,959","1,444",0.57,30 Jun 2018,"6,035",939,0.37,31 Dec 2017,"5,721",498,0.19,31 Dec 2017,"25,760",-,-,"3,984",768,"38,428",0,"1,146","4,869","4,250","6,802",0,0,"55,441",22.26,-,15.47,4.73,-
BSL CORPORATION BERHAD,0.345,Main,475,06 Mar 2019,7:11 PM,30 Nov 2018,"41,212","1,840",1.61,31 Aug 2018,"43,081","-1,306",-0.56,31 May 2018,"39,534",-608,-0.34,28 Feb 2018,"39,787",-360,-0.17,31 Aug 2017,"146,251","10,283","5,504","3,202",0,"55,110","8,524","11,927","13,940","38,717","11,699",0,0,"78,003",5.01,4.19,2.19,1.75,0.13
BOUSTEAD HOLDINGS BHD,1.350,Main,790,06 Mar 2019,7:11 PM,31 Dec 2018,"3,024,700","-565,000",-22.45,30 Sep 2018,"2,543,000","40,100",0.36,30 Jun 2018,"2,373,700","-1,300",-1.36,31 Mar 2018,"2,245,000","38,100",0.30,31 Dec 2017,"10,020,100","1,130,700","767,400","535,700","1,391,000","6,080,200","2,691,300","782,600","631,100","7,136,900","1,456,500",0,0,"8,917,700",13.69,6.15,5.35,0.68,0.36
BP PLASTICS HOLDING BHD,1.080,Main,190,06 Mar 2019,7:11 PM,31 Dec 2018,"85,681","6,386",3.40,30 Sep 2018,"80,593","5,335",2.84,30 Jun 2018,"82,559","4,751",2.53,31 Mar 2018,"84,945","4,614",2.46,31 Dec 2017,"328,557",-,-,"12,834",0,"68,867",0,"63,056","22,047","46,363",0,0,0,"167,342",4.72,-,3.91,3.32,-
BRAHIMS HOLDINGS BERHAD,0.150,Main,"343,150",06 Mar 2019,7:11 PM,31 Dec 2018,"70,219","-98,485",-39.69,30 Sep 2018,"70,734","-9,001",-1.50,30 Jun 2018,"64,417","-5,831",-1.18,31 Mar 2018,"68,671","-2,732",-0.80,31 Dec 2017,"291,563","21,565","7,374","-6,937","195,211","49,712","18,552","6,259","18,862","59,232","67,750",0,0,"243,354",2.62,-2.84,-2.38,1.65,0.21
BINA PURI HOLDINGS BHD,0.205,Main,"158,868",06 Mar 2019,7:11 PM,31 Dec 2018,"183,009","6,083",-0.38,30 Sep 2018,"199,864","3,405",0.27,30 Jun 2018,"160,416","5,722",0.06,31 Mar 2018,"166,571","4,172",0.31,31 Dec 2017,"1,097,330",-,-,"3,099","14,585","164,470","14,693","249,700","50,989","1,105,618","180,366",0,0,"340,152",3.82,-,0.28,1.11,-
BTM RESOURCES BHD,0.110,Main,"2,009",06 Mar 2019,7:11 PM,31 Dec 2018,"3,685","-1,440",-1.02,30 Sep 2018,"4,663",127,0.09,31 Mar 2018,"3,617",-426,-0.32,31 Dec 2017,"3,188","-1,229",-0.96,31 Dec 2017,"12,762",-,-,-821,0,"30,451",363,"7,243",987,"7,035","2,939","1,985",0,"28,859",-8.24,-,-6.43,1.45,-
CAB CAKARAN CORPORATION BHD,0.625,Main,"3,883",06 Mar 2019,7:11 PM,31 Dec 2018,"454,432","7,630",1.22,30 Sep 2018,"465,830","-2,538",0.08,30 Jun 2018,"430,677","4,614",0.77,31 Mar 2018,"424,897","13,365",1.86,30 Sep 2017,"1,492,091","121,098","96,628","58,183","17,757","532,724","13,806","85,035","102,055","367,442","127,296",0,0,"530,695",6.55,14,3.9,1.13,0.27
CABNET HOLDINGS BERHAD,0.295,Ace,"1,135",06 Mar 2019,7:11 PM,31 Dec 2018,"15,778","2,240",1.46,30 Sep 2018,"11,575",973,0.67,30 Jun 2018,"9,516",574,0.44,31 Mar 2018,"10,314",893,0.69,31 Dec 2017,"52,336",-,-,"5,237",99,"7,108",0,"3,730","10,717","9,912","1,729",0,0,"43,356",12.94,-,10.01,4.88,-
CAM RESOURCES BHD,0.250,Main,110,06 Mar 2019,7:11 PM,31 Dec 2018,"52,965","1,466",0.76,30 Sep 2018,"60,818",279,0.15,30 Jun 2018,"50,504",359,0.19,31 Mar 2018,"47,009",390,0.20,31 Dec 2017,"259,451",-,-,"6,073","6,125","94,116",0,"36,714","19,664","39,238","24,984",0,0,"107,896",4.59,-,2.34,1.99,-
CAELY HOLDINGS BHD,0.950,Main,120,06 Mar 2019,7:11 PM,31 Dec 2018,"19,102",-253,-0.28,30 Sep 2018,"21,266",568,0.69,30 Jun 2018,"19,830",90,0.13,31 Mar 2018,"28,947",138,0.20,31 Mar 2018,"97,946",-,-,"1,380",0,"25,256",0,"68,073","4,995","45,190","9,028",0,0,"87,614",3.87,-,1.41,2.5,-
CAN-ONE BHD,2.760,Main,"2,552",06 Mar 2019,7:11 PM,31 Dec 2018,"322,596","12,954",6.74,30 Sep 2018,"297,786","10,985",5.72,30 Jun 2018,"296,358","11,212",5.83,31 Mar 2018,"310,479","11,425",5.95,31 Dec 2017,"1,136,336","132,643","114,205","63,575","1,643","351,629","515,928","170,955","95,556","419,276","257,299",0,0,"793,246",9.23,8.25,5.59,1.51,0.33
CAREPLUS GROUP BERHAD,0.180,Ace,"4,175",06 Mar 2019,7:11 PM,31 Dec 2018,"89,979","-1,019",-0.32,30 Sep 2018,"89,432","3,295",0.22,30 Jun 2018,"80,452",573,-0.14,30 Jun 2018,"80,452",573,-0.14,31 Dec 2017,"322,575",-,-,"-1,918",205,"157,702",0,"37,475","14,252","121,793","14,074",0,0,"130,844",3.37,-,-0.59,1.05,-
CARIMIN PETROLEUM BERHAD,0.830,Main,"127,607",06 Mar 2019,7:11 PM,31 Dec 2018,"96,255","5,215",2.25,30 Sep 2018,"84,087","11,529",5.01,30 Jun 2018,"46,930","-15,994",-6.82,31 Dec 2017,"40,253","-3,639",-1.54,30 Jun 2018,"141,304",-,-,"-25,388",0,"117,308","4,493",0,"34,378","55,017","50,990",0,0,"134,726",-13.45,-,-17.97,2.16,-
