stock name,price,board,volume,date,time,Period End 1,Revenue 1,P&L 1,EPS 1,Period End 2,Revenue 2,P&L 2,EPS 2,Period End 3,Revenue 3,P&L 3,EPS 3,Period End 4,Revenue 4,P&L 4,EPS 4,Financial Date,Sales,Ebitda,Ebit,Net Profit,Intangibles,Fixed Asset,Long Term Investment,Inventories,Cash,Current Liabilites,Long_debt,Provisions,Minorities,Total Shareholder Equity,Operating Margin,Return on Equity Capital,Net Profit Margin,Current Ratio,Debt to Capital at book
ANN JOO RESOURCES BHD,1.560,Main,"11,553",06 Mar 2019,7:11 PM,31 Dec 2018,"675,725","33,015",6.14,30 Sep 2018,"547,694","34,384",6.40,30 Jun 2018,"509,625","20,700",3.88,31 Mar 2018,"589,064","61,445",11.88,31 Dec 2017,"2,195,212",-,-,"205,384","7,468","1,001,544","10,776","846,718","56,529","1,074,157",0,"5,207",0,"1,227,339",13.29,-,9.36,1.25,-
AJIYA BHD,0.545,Main,"1,770",06 Mar 2019,7:11 PM,30 Nov 2018,"91,691","1,743",0.60,31 Aug 2018,"96,193","18,398",5.61,31 May 2018,"103,737","6,180",1.62,28 Feb 2018,"90,729","1,065",0.37,30 Nov 2017,"370,883","26,384","16,029","13,647","1,659","175,259","5,344","75,593","75,372","57,132","3,420",0,0,"397,545",5.14,3.46,3.68,4.65,0.01
ANZO HOLDINGS BERHAD,0.040,Main,"5,475",06 Mar 2019,7:11 PM,31 Oct 2018,"1,587",-663,-0.08,31 Mar 2018,"1,321","-1,069",-0.12,31 Mar 2018,"1,321","-1,069",-0.12,31 Dec 2017,"1,269","-2,651",-0.32,31 Jul 2018,"35,151",-,-,"-5,918",0,"28,160",0,0,"14,429","9,342",0,0,0,"146,596",-16.82,-,-16.84,13.93,-
APFT BERHAD,0.015,Main,"66,351",06 Mar 2019,7:11 PM,31 Oct 2018,68,"-29,006",-2.16,31 Jul 2018,636,"-2,578",-0.19,30 Apr 2018,600,-386,0.00,31 Jan 2018,201,"-16,969",-1.22,31 Jan 2018,"7,098",-,-,"-64,048",0,"12,220","1,761",521,"2,359","44,913","1,197",0,0,"-19,260",-809.88,-,-902.34,0.29,-
APM AUTOMOTIVE HOLDINGS BHD,3.000,Main,4,06 Mar 2019,7:11 PM,31 Dec 2018,"382,585","24,346",8.86,30 Sep 2018,"335,997","8,910",1.71,30 Jun 2018,"295,481","6,033",0.79,31 Mar 2018,"320,309","21,169",8.29,31 Dec 2017,"1,188,519",-,-,"39,095","19,966","572,577","58,617","242,236","232,809","297,655",0,"19,715",0,"1,284,590",6.36,-,3.29,2.94,-
APEX EQUITY HOLDINGS BHD,1.000,Main,110,06 Mar 2019,7:11 PM,31 Dec 2018,"9,470","2,946",1.45,30 Sep 2018,"10,297","3,520",1.74,30 Jun 2018,"10,069",-964,-0.48,31 Dec 2017,"9,044","3,151",1.55,31 Dec 2017,"44,227",-,-,"14,041",0,"13,764","6,469",0,"128,352","179,226",0,0,0,"289,868",41.71,-,31.75,2.17,-
A-RANK BHD,0.520,Main,224,06 Mar 2019,7:11 PM,31 Oct 2018,"124,458","2,420",2.01,31 Jul 2018,"120,563","4,390",3.66,30 Apr 2018,"119,836","3,446",2.87,31 Jan 2018,"137,945","3,090",2.58,31 Jul 2018,"498,432",-,-,"13,942",0,"55,404",437,"52,269","31,653","48,203",0,0,0,"124,387",3.66,-,2.8,2.53,-
ARK RESOURCES HOLDINGS BERHAD,0.500,Main,129,06 Mar 2019,7:11 PM,31 Dec 2018,65,"-2,297",-4.72,30 Sep 2018,227,-437,-0.90,30 Jun 2018,"1,749",53,0.11,31 Mar 2018,"1,591",22,0.05,31 Dec 2017,"8,131",214,187,187,0,80,0,"8,391",464,"5,001",0,0,0,"17,366",2.36,1.08,2.3,3.97,0
APOLLO FOOD HOLDINGS BHD,3.860,Main,10,06 Mar 2019,7:11 PM,31 Oct 2018,"46,708","5,034",6.29,31 Jul 2018,"43,119","4,183",5.23,30 Apr 2018,"45,809","1,363",1.70,31 Jan 2018,"46,189","2,130",2.66,30 Apr 2018,"190,818",-,-,"11,071",0,"103,164","3,686","14,903","94,766","8,004",0,"2,390",0,"243,616",7.72,-,5.8,17.86,-
BUMI ARMADA BERHAD,0.165,Main,"442,495",06 Mar 2019,7:11 PM,30 Sep 2018,"588,047","-513,365",-8.56,30 Jun 2018,"654,042","-592,209",-9.97,31 Mar 2018,"600,342","48,714",0.83,31 Dec 2017,"662,147","77,900",1.09,31 Dec 2017,"2,402,130","1,372,425","891,941","352,247",0,"9,235,066","717,627","4,199","1,846,114","6,648,085","6,024,982","106,921",0,"5,521,031",38.43,6.34,14.66,0.51,0.61
ASDION BHD,0.255,Ace,"42,667",06 Mar 2019,7:11 PM,31 Dec 2018,"3,351",54,-0.37,30 Sep 2018,"3,710",-725,-0.53,30 Sep 2018,"3,710",725,-0.53,30 Jun 2018,"3,445",-690,-0.51,31 Mar 2018,"4,204",-,-,"-4,870","6,336","6,138",0,"3,527",986,"9,707","1,032",0,0,"11,970",-117.03,-,-115.84,0.92,-
AMANAHRAYA REITS,0.850,Main,189,06 Mar 2019,7:11 PM,31 Dec 2018,"27,929","-15,092",-2.63,30 Sep 2018,"24,424","8,672",1.51,30 Jun 2018,"23,535","79,497",13.87,31 Mar 2018,"21,945","75,317",13.14,31 Dec 2017,"61,036","53,183","46,804","74,254",0,0,0,0,"196,768","51,200","738,132",0,0,"728,290",146.77,10.5,121.66,6.31,0.5
ADVANCE SYNERGY BHD,0.130,Main,"17,258",06 Mar 2019,7:11 PM,31 Dec 2018,"87,243","8,720",0.80,30 Sep 2018,"65,395","-2,620",-0.45,30 Jun 2018,"65,132","-3,631",-0.45,31 Mar 2018,"65,813","-3,609",-0.47,31 Dec 2017,"265,923",-,-,-663,"95,867","156,848","89,307","40,086","158,047","135,922","37,612","1,747",0,"496,069",5.12,-,-0.25,2.55,-
APPASIA BERHAD,0.090,Ace,"4,873",06 Mar 2019,7:11 PM,31 Dec 2018,"40,082",-107,-0.03,30 Sep 2018,"44,220",-286,-0.08,30 Jun 2018,"33,399",-641,-0.19,31 Mar 2018,"60,844","1,476",0.43,31 Dec 2017,"142,839",-,-,-416,"1,066",535,37,179,"20,535","99,472",0,0,0,"26,620",-0.14,-,-0.29,1.23,-
ASIAN PAC HOLDINGS BHD,0.115,Main,"1,510",06 Mar 2019,7:11 PM,31 Dec 2018,"32,569","2,873",0.28,30 Sep 2018,"32,148","3,644",0.35,30 Jun 2018,"23,986","4,716",0.46,31 Mar 2018,"65,782","26,628",2.62,31 Mar 2018,"192,071",-,-,"44,395",503,"10,280","4,735","105,378","56,283","167,757","259,794",0,0,"991,290",46.23,-,23.11,1.76,-
ASIA BRANDS BERHAD,0.430,Main,300,06 Mar 2019,7:11 PM,31 Dec 2018,"41,776","1,372",1.18,30 Sep 2018,"35,549",933,0.80,30 Jun 2018,"39,713","2,032",1.25,31 Mar 2018,"35,802","-14,408",-17.84,31 Mar 2018,"150,588",-,-,"-19,197","157,705","7,351",0,"46,072","8,621","123,572",0,0,0,"144,537",-6.67,-,-12.75,0.74,-
ASIA POLY HOLDINGS BHD,0.080,Ace,"3,082",06 Mar 2019,7:11 PM,31 Dec 2018,"20,291","-2,025",-0.44,30 Sep 2018,"19,906","-1,012",-0.22,30 Jun 2018,"16,445",53,0.03,31 Mar 2018,"16,376",-74,-0.01,31 Dec 2017,"83,245",-,-,647,0,"37,017",0,"10,458","29,335","23,924",0,0,0,"79,655",1.37,-,0.78,2.91,-
ASIA FILE CORPORATION BHD,2.600,Main,80,06 Mar 2019,7:11 PM,31 Dec 2018,"79,488","10,702",5.48,30 Sep 2018,"83,508","15,794",8.10,30 Jun 2018,"84,134","7,971",4.09,31 Mar 2018,"83,836","11,154",5.72,31 Mar 2018,"351,814",-,-,"59,149","31,113","104,471","150,346","114,672","116,587","78,884",0,0,0,"586,014",20.45,-,16.81,4.92,-
ASTINO BHD,0.640,Main,"1,405",06 Mar 2019,7:11 PM,31 Oct 2018,"139,938","3,227",1.18,31 Jul 2018,"128,119","2,403",0.88,30 Apr 2018,"135,372","8,759",3.21,31 Jan 2018,"144,321","8,157",2.99,31 Jul 2018,"546,601",-,-,"28,836",0,"178,947","2,449","210,848","17,790","145,570","5,693",0,0,"362,259",7.09,-,5.28,2.17,-
AT SYSTEMATIZATION BHD,0.050,Ace,"6,383",06 Mar 2019,7:11 PM,31 Dec 2018,"4,533","-2,465",-0.52,30 Sep 2018,"6,923",27,0.02,30 Jun 2018,"4,629","-1,445",-0.33,31 Mar 2018,"6,092","-3,748",-0.87,31 Mar 2018,"23,086",-,-,"-5,629",0,"63,209",0,"2,304","9,595","6,521","4,968",0,0,"73,380",-23.05,-,-24.38,3.98,-
ASTRO MALAYSIA HOLDINGS BERHAD,1.610,Main,"20,850",06 Mar 2019,7:11 PM,31 Oct 2018,"1,383,868","153,619",2.94,31 Jul 2018,"1,416,439","14,689",0.32,30 Apr 2018,"1,310,940","173,875",3.35,31 Jan 2018,"1,388,253","180,535",3.49,31 Jan 2018,"5,530,753",-,-,"770,636","2,039,303","2,400,846","6,792","19,678","233,608","2,403,645","1,835,108",0,0,"653,329",-,-,-,0.85,-
